//Grid	ID	x	y	z
GRID	1	0.0	0.0	1.0
GRID	2	0.0	0.0	0.0
GRID	3	0.0	1.0	1.0
GRID	4	0.0	1.0	0.0
GRID	5	1.0	0.0	1.0
GRID	6	1.0	0.0	0.0
GRID	7	1.0	1.0	1.0
GRID	8	1.0	1.0	0.0
GRID	9	0.0	0.0	0.5
GRID	10	0.0	0.5	1.0
GRID	11	0.0	1.0	0.5
GRID	12	0.0	0.5	0.0
GRID	13	1.0	0.0	0.5
GRID	14	1.0	0.5	1.0
GRID	15	1.0	1.0	0.5
GRID	16	1.0	0.5	0.0
GRID	17	0.5	0.0	0.0
GRID	18	0.5	0.0	1.0
GRID	19	0.5	1.0	0.0
GRID	20	0.5	1.0	1.0
GRID	21	0.0	0.5	0.5
GRID	22	0.0	0.25	0.75
GRID	23	0.0	0.25	0.25
GRID	24	0.0	0.75	0.75
GRID	25	0.0	0.75	0.25
GRID	26	1.0	0.5	0.5
GRID	27	1.0	0.25	0.75
GRID	28	1.0	0.25	0.25
GRID	29	1.0	0.75	0.75
GRID	30	1.0	0.75	0.25
GRID	31	0.5	0.0	0.5
GRID	32	0.75	0.0	0.25
GRID	33	0.25	0.0	0.75
GRID	34	0.25	0.0	0.25
GRID	35	0.75	0.0	0.75
GRID	36	0.5	1.0	0.5
GRID	37	0.75	1.0	0.25
GRID	38	0.25	1.0	0.75
GRID	39	0.25	1.0	0.25
GRID	40	0.75	1.0	0.75
GRID	41	0.5	0.5	0.0
GRID	42	0.75	0.25	0.0
GRID	43	0.75	0.75	0.0
GRID	44	0.25	0.25	0.0
GRID	45	0.25	0.75	0.0
GRID	46	0.5	0.5	1.0
GRID	47	0.75	0.25	1.0
GRID	48	0.75	0.75	1.0
GRID	49	0.25	0.25	1.0
GRID	50	0.25	0.75	1.0
GRID	51	0.375	0.375	0.625
GRID	52	0.625	0.625	0.375
//Strut	ID	Start	End
STRUT	230	43	37
STRUT	227	37	30
STRUT	221	49	22
STRUT	220	52	16
STRUT	218	52	15
STRUT	214	52	51
STRUT	212	52	46
STRUT	210	31	41
STRUT	200	45	39
STRUT	199	40	29
STRUT	196	23	34
STRUT	195	52	28
STRUT	192	52	31
STRUT	189	32	42
STRUT	188	42	31
STRUT	187	52	39
STRUT	185	36	25
STRUT	183	52	26
STRUT	182	26	48
STRUT	178	52	45
STRUT	175	52	40
STRUT	174	52	48
STRUT	172	48	36
STRUT	167	51	26
STRUT	166	51	27
STRUT	164	27	47
STRUT	184	52	29
STRUT	162	51	50
STRUT	161	51	46
STRUT	159	50	38
STRUT	217	51	18
STRUT	170	51	35
STRUT	155	24	36
STRUT	157	51	36
STRUT	153	51	23
STRUT	152	51	21
STRUT	165	51	47
STRUT	151	44	21
STRUT	150	23	44
STRUT	194	31	28
STRUT	146	44	34
STRUT	144	46	14
STRUT	180	52	25
STRUT	142	46	50
STRUT	140	46	20
STRUT	139	49	46
STRUT	138	46	47
STRUT	145	31	44
STRUT	136	14	48
STRUT	134	7	48
STRUT	204	25	44
STRUT	129	50	3
STRUT	229	52	37
STRUT	131	18	47
STRUT	128	20	50
STRUT	156	51	38
STRUT	56	16	30
STRUT	42	25	21
STRUT	201	28	42
STRUT	30	23	12
STRUT	24	20	7
STRUT	198	35	47
STRUT	26	22	9
STRUT	53	29	14
STRUT	36	12	25
STRUT	219	52	19
STRUT	21	4	19
STRUT	3	1	10
STRUT	13	8	15
STRUT	86	38	3
STRUT	108	4	45
STRUT	52	29	7
STRUT	223	51	49
STRUT	44	10	21
STRUT	62	30	26
STRUT	4	10	3
STRUT	96	37	19
STRUT	54	8	30
STRUT	202	31	26
STRUT	149	51	31
STRUT	148	51	44
STRUT	27	10	22
STRUT	51	15	29
STRUT	173	52	36
STRUT	57	26	13
STRUT	111	6	42
STRUT	191	52	32
STRUT	47	14	27
STRUT	216	51	10
STRUT	18	17	6
STRUT	169	26	35
STRUT	48	13	28
STRUT	88	4	39
STRUT	58	27	26
STRUT	45	5	27
STRUT	41	21	24
STRUT	32	24	3
STRUT	40	11	21
STRUT	39	21	23
STRUT	215	51	9
STRUT	124	41	19
STRUT	46	27	13
STRUT	6	11	3
STRUT	132	47	5
STRUT	37	21	9
STRUT	104	36	20
STRUT	34	4	25
STRUT	29	23	2
STRUT	70	17	34
STRUT	33	24	10
STRUT	28	9	23
STRUT	2	9	1
STRUT	76	32	17
STRUT	135	48	20
STRUT	11	5	14
STRUT	17	2	17
STRUT	97	11	36
STRUT	38	22	21
STRUT	231	52	43
STRUT	85	11	38
STRUT	123	17	41
STRUT	19	1	18
STRUT	226	33	49
STRUT	107	44	17
STRUT	208	21	36
STRUT	10	13	5
STRUT	225	51	33
STRUT	66	33	1
STRUT	75	32	6
STRUT	113	17	42
STRUT	89	39	11
STRUT	8	12	4
STRUT	147	51	34
STRUT	130	50	10
STRUT	15	6	16
STRUT	211	51	41
STRUT	158	51	24
STRUT	65	9	33
STRUT	137	18	46
STRUT	71	5	35
STRUT	25	1	22
STRUT	206	46	36
STRUT	1	2	9
STRUT	12	14	7
STRUT	9	6	13
STRUT	207	41	21
STRUT	20	18	5
STRUT	63	26	16
STRUT	79	34	31
STRUT	60	15	26
STRUT	92	40	15
STRUT	117	12	41
STRUT	35	25	11
STRUT	110	19	45
STRUT	7	2	12
STRUT	177	25	41
STRUT	68	2	34
STRUT	160	38	46
STRUT	143	10	46
STRUT	125	1	49
STRUT	209	46	26
STRUT	59	26	28
STRUT	222	51	22
STRUT	14	15	7
STRUT	72	35	13
STRUT	171	40	48
STRUT	43	21	12
STRUT	50	28	16
STRUT	213	52	21
STRUT	23	3	20
STRUT	22	19	8
STRUT	127	10	49
STRUT	49	28	6
STRUT	77	9	31
STRUT	186	25	39
STRUT	179	52	41
STRUT	106	44	2
STRUT	116	43	19
STRUT	163	47	26
STRUT	61	26	29
STRUT	64	14	26
STRUT	90	19	39
STRUT	203	28	35
STRUT	105	12	44
STRUT	176	45	25
STRUT	84	31	18
STRUT	67	33	18
STRUT	197	50	24
STRUT	69	34	9
STRUT	87	38	20
STRUT	103	36	19
STRUT	5	4	11
STRUT	73	18	35
STRUT	193	28	32
STRUT	109	45	12
STRUT	74	13	32
STRUT	228	52	30
STRUT	190	52	42
STRUT	100	15	36
STRUT	55	30	15
STRUT	78	31	33
STRUT	112	42	16
STRUT	81	31	32
STRUT	133	47	14
STRUT	93	20	40
STRUT	83	31	17
STRUT	91	7	40
STRUT	232	30	43
STRUT	94	15	37
STRUT	98	36	38
